dialogue_id,speaker,turn,act_1,act_2,act_3
19_00000,USER,Can you search for flights for me?,INFORM_INTENT,,
19_00000,SYSTEM,"Where are you leaving from, going, and when are you going to come back?",REQUEST,,
19_00000,USER,I'm going from NY to ATL and want to be back on March 14th.,INFORM,,
19_00000,SYSTEM,When are you going to leave?,REQUEST,,
19_00000,USER,I'm leaving on Thursday next week.,INFORM,,
19_00000,SYSTEM,"There's a $135 American Airlines flight that leaves at 11:20 am, and the return flight leaves at 6:25 am.",OFFER,,
19_00000,USER,"That flight sounds good, and that's all I need.",SELECT,GOODBYE,
19_00000,SYSTEM,Have a good day.,GOODBYE,,
19_00001,USER,"I'm looking for a round trip flight from Delta Airlines, please help me out.",INFORM,INFORM_INTENT,
19_00001,SYSTEM,What's your departure location?,REQUEST,,
19_00001,USER,"I will be departing from Paris, France.",INFORM,,
19_00001,SYSTEM,"And where will you be going? Also, when will you be leaving and coming back?",REQUEST,,
19_00001,USER,I'll be going to Philly. I want to leave on March 5th with a return on the 13th of March.,INFORM,,
19_00001,SYSTEM,"There's 1 flight I found that is convenient. It's from Delta Airlines, the outbound flight is at 5:35 pm and the return flight is at 12:20 pm. It costs $388.",OFFER,,
19_00001,USER,What's the airport that it will be arriving in? And does it have 1 stop?,REQUEST,,
19_00001,SYSTEM,It does have 1 stop. It will be arriving in PHL International Airport.,INFORM,,
19_00001,USER,I like the sound of that.,SELECT,,
19_00001,SYSTEM,Do you need any additional help?,REQ_MORE,,
19_00001,USER,"No, thanks for helping me.",NEGATE,THANK_YOU,
19_00001,SYSTEM,Have a terrific rest of your day.,GOODBYE,,
19_00002,USER,I need to find a round trip flight.,INFORM_INTENT,,
19_00002,SYSTEM,What airport will you be flying out of?,REQUEST,,
19_00002,USER,I will be leaving from Los Angeles.,INFORM,,
19_00002,SYSTEM,What dates would you like to look for? Where would you like to fly to?,REQUEST,,
19_00002,USER,"I need to leave on the 9th and come back on the 11th of this month. Flying from San Fran to Atlanta, GA.",INFORM,,
19_00002,SYSTEM,American Airlines has a flight that departs a 2:15 pm and the return flight departs at 11:40 am for $255.,OFFER,,
19_00002,USER,Does it have more than 0 layovers? What time does my flight arrive?,REQUEST,,
19_00002,SYSTEM,It has 1 layover and it arrives at 2:06 pm.,INFORM,,
19_00002,USER,What other options are there?,REQUEST_ALTS,,
19_00002,SYSTEM,Delta Airlines has a flight that departs at 10:05 am and the return flight departs at 12:50 pm for $198.,OFFER,,
19_00002,USER,Is there anything else.,REQUEST_ALTS,,
19_00002,SYSTEM,Southwest airlines has a flight that departs at 6:45 am and the return flight departs at 6:30 am for $236.,OFFER,,
19_00002,USER,Thanks that will be all.,SELECT,GOODBYE,
19_00002,SYSTEM,Have a great day!,GOODBYE,,
19_00003,USER,I'd like you to search a flight for me. I am looking for United Airlines Economy.,INFORM,,INFORM_INTENT
19_00003,SYSTEM,Where will you be leaving from and when do you plan to leave?,REQUEST,,
19_00003,USER,I'm leaving from Chicago on the 9th of this month.,INFORM,,
19_00003,SYSTEM,Where are you going and when will you come back?,REQUEST,,
19_00003,USER,"There are two people in my group, and we want to go to San Francisco and come back on the 14th of March.",INFORM,,
19_00003,SYSTEM,I found a United Airlines flight. Outbound is at 4 am and the return flight is 10:10 pm for $178.,OFFER,,
19_00003,USER,When does the onward flight arrive?,REQUEST,,
19_00003,SYSTEM,The onward flight arrives at 6:47 am.,INFORM,,
19_00003,USER,Which airport will I be departing and returning from?,REQUEST,,
19_00003,SYSTEM,"Destination is SFO International Airport, and you will be departing from O'Hare International Airport.",INFORM,,
19_00003,USER,That sounds great for me.,SELECT,,
19_00003,SYSTEM,Should I purchase the tickets?,OFFER_INTENT,,
19_00003,USER,"No, that's okay.",NEGATE_INTENT,GOODBYE,
19_00003,SYSTEM,Have a wonderful day.,GOODBYE,,
19_00004,USER,Hello! Could you help me to find some round-trip flights?,INFORM_INTENT,,
19_00004,SYSTEM,"Sure, when do you plan to depart?",REQUEST,,
19_00004,USER,I plan to depart on March 7th.,INFORM,,
19_00004,SYSTEM,Where would be your preferred departure and arrival locations?,REQUEST,,
19_00004,USER,I will be departing from Chicago and I plan to visit NY.,INFORM,,
19_00004,SYSTEM,Noted! Then when will you be coming back?,REQUEST,,
19_00004,USER,I intend to return on 11th of this month.,INFORM,,
19_00004,SYSTEM,I have found an American Airlines flight departing at 12:30 pm and returning at 5:25 am. This will cost you $136.,OFFER,,
19_00004,USER,Are there alternative flights available?,REQUEST_ALTS,,
19_00004,SYSTEM,Yes! I have also found a Delta Airlines flight departing at 9:15 am and returning at 6 am. This will cost you $125.,OFFER,,
19_00004,USER,"No thanks, are there any other available Economy flights?",INFORM,REQUEST_ALTS,
19_00004,SYSTEM,Yes. There is also a Southwest Airlines flight departing at 9:50 pm and returning at 4:20 am. This will cost you $141.,OFFER,,
19_00004,USER,Is the ticket refundable?,REQUEST,,
19_00004,SYSTEM,"Yes, the this is a refundable ticket.",INFORM,,
19_00004,USER,That sounds great!,SELECT,,
19_00004,SYSTEM,Do you need me to make a reservation?,OFFER_INTENT,,
19_00004,USER,"No, I am fine.",NEGATE_INTENT,,
19_00004,SYSTEM,Do you require any further assistance?,REQ_MORE,,
19_00004,USER,"No, thank you for your help though.",NEGATE,THANK_YOU,
19_00004,SYSTEM,"No worries, have a pleasant day ahead!",GOODBYE,,
19_00005,USER,I need a round trip flight soon. Find me something from United Airlines,INFORM,INFORM_INTENT,
19_00005,SYSTEM,When and where do you plan to leave from?,REQUEST,,
19_00005,USER,"I want to leave on the 2nd of March from Seattle, WA",INFORM,,
19_00005,SYSTEM,Where are you planning to go?,REQUEST,,
19_00005,USER,I am gonna be travelling to Ciudad de Mexico!,INFORM,,
19_00005,SYSTEM,When do you think you'll be back?,REQUEST,,
19_00005,USER,"I want to be back Wednesday next week, not too long",INFORM,,
19_00005,SYSTEM,I found 1 flight from United Airlines that might fit your schedule. It leaves at 10:10 am and the return flight is at 8:45 pm and will cost $281,OFFER,,
19_00005,USER,Which airport does that flight leave from?,REQUEST,,
19_00005,SYSTEM,It leaves from Seattle-Tacoma International Airport,INFORM,,
19_00005,USER,What time does it arrive at the destination?,REQUEST,,
19_00005,SYSTEM,It'll get there at 8:05 pm,INFORM,,
19_00005,USER,That's fine then,SELECT,,
19_00005,SYSTEM,Should I book it?,OFFER_INTENT,,
19_00005,USER,No not right now?,NEGATE_INTENT,,
19_00005,SYSTEM,Can I help with anything else then?,REQ_MORE,,
19_00005,USER,"No, for now we're good, thanks again",NEGATE,THANK_YOU,
19_00005,SYSTEM,"Sure thing, have a wonderful day",GOODBYE,,
19_00006,USER,"I'm going on a trip, can you find some flights for me?",INFORM_INTENT,,
19_00006,SYSTEM,When will you be going and when will you be coming back?,REQUEST,,
19_00006,USER,I'm going with two people and we want to get back on March 8th. I am leaving next Wednesday and will be going to Washington.,INFORM,,
19_00006,SYSTEM,Where will you be flying from?,REQUEST,,
19_00006,USER,I'm going to be leaving from Atlanta.,INFORM,,
19_00006,SYSTEM,There is a American Airlines flight which leaves at 11:40 am and returns at 4:10 pm. It costs $132.,OFFER,,
19_00006,USER,"Sounds good, thanks.",SELECT,GOODBYE,
19_00006,SYSTEM,Have a nice flight!,GOODBYE,,
19_00007,USER,"I'd like to get a round trip flight, returning on the 11th of this month. Can you help?",INFORM,INFORM_INTENT,
19_00007,SYSTEM,Sure. From where do you want to fly and when do you want to fly?,REQUEST,,
19_00007,USER,"I will be flying out of Seattle, WA on the 4th of March. I will be needing 3 tickets and I do not have specific preferences regarding airlines.",INFORM,,
19_00007,SYSTEM,Can you please tell me your desired destination?,REQUEST,,
19_00007,USER,"Sure, I plan to visit Los Angeles.",INFORM,,
19_00007,SYSTEM,"I found an Alaska Airlines flight taking of at 3:45 pm, with the returning flight taking of at 7:10 pm. Total price of one ticket is $138.",OFFER,,
19_00007,USER,Any other flights available? I forgot to mention that I prefer Premium Economy tickets.,INFORM,REQUEST_ALTS,
19_00007,SYSTEM,"I found 4 flights matching your criteria, out of which I'd recommend the American Airlines flight taking off at 8:15 am, with the return flight taking off at 11:45 pm. Ticket price is $237.",OFFER,,
19_00007,USER,"Anything else available? Also, change the return date to the 10th.",INFORM,REQUEST_ALTS,
19_00007,SYSTEM,"I found a Southwest Airlines flight for you, taking off at 5:25 am with the return flight taking off at 12 pm. Ticket price is $238.",OFFER,,
19_00007,USER,Do you know if the flight has one ore more stops and also the departure airport.,REQUEST,,
19_00007,SYSTEM,The flight has 0 stops and is taking off from Seattle-Tacoma International Airport.,INFORM,,
19_00007,USER,This sounds perfect for me.,SELECT,,
19_00007,SYSTEM,Do you want me to buy your tickets?,OFFER_INTENT,,
19_00007,USER,"No, not at the moment.",NEGATE_INTENT,,
19_00007,SYSTEM,Is there anything else I can do for you?,REQ_MORE,,
19_00007,USER,"No, that will be all.",NEGATE,THANK_YOU,
19_00007,SYSTEM,Have a nice day!,GOODBYE,,
19_00008,USER,"Sir, I would like to book a flight and would prefer to have a round trip. Please can you help me in booking?",INFORM_INTENT,,
19_00008,SYSTEM,"Sure, I can help you with that. What date would you like me to book the return ticket for you?",REQUEST,,
19_00008,USER,Probably on the 13th.,INFORM,,
19_00008,SYSTEM,Where are you travelling to? What date will you be travelling? Which airport you want to choose for your departure?,REQUEST,,
19_00008,USER,I would like to fly on 5th of this month from SFO airport and have to reach Los Angeles.,INFORM,,
19_00008,SYSTEM,"Sure, I can help you make your reservation. The Alaska Airlines flight having its outbound leaving time at 8:20 pm flies to Los Angeles and return flight timing would be at 5:50 pm. Including tax, the cost of your travel would add to $111. Can I book with this flight?",OFFER,,
19_00008,USER,That's fine. Sounds good.,SELECT,,
19_00008,SYSTEM,"Economy, Business class or first class ticket you want to purchase?",OFFER_INTENT,,
19_00008,USER,"Nope, not now.",NEGATE_INTENT,,
19_00008,SYSTEM,That's Okay! Anything to help with?,REQ_MORE,,
19_00008,USER,"Nope, that's all. Am done with. Thank you.",NEGATE,THANK_YOU,
19_00008,SYSTEM,Have a fantastic day.,GOODBYE,,
19_00009,USER,I need help with flights.,INFORM_INTENT,,
19_00009,SYSTEM,What is your departure date?,REQUEST,,
19_00009,USER,I will be departing on the 2nd of March headed to NYC and prefer to fly Southwest Airlines.,INFORM,,
19_00009,SYSTEM,When is your return date?,REQUEST,,
19_00009,USER,I will be returning next Wednesday.,INFORM,,
19_00009,SYSTEM,Where will you be departing from?,REQUEST,,
19_00009,USER,I will be departing from Washington.,INFORM,,
19_00009,SYSTEM,There is 1 flight on Southwest Airlines departing at 4:50 pm on the outbound date and at 5:15 pm on the return date for $86.,OFFER,,
19_00009,USER,From what airport does the flight depart and is the ticket refundable?,REQUEST,,
19_00009,SYSTEM,It is a non refundable ticket departing from Dulles International Airport.,INFORM,,
19_00009,USER,That sounds good. That's all.,SELECT,GOODBYE,
19_00009,SYSTEM,Enjoy your day.,GOODBYE,,
19_00010,USER,Can you look up flight times for me?,INFORM_INTENT,,
19_00010,SYSTEM,Where is your flight destination?,REQUEST,,
