dialogue_id,speaker,turn,act_1,act_2,act_3
105_00000,USER,I'm trying to find things to do. I'd like something in New York City. I like Electronica events and I'm looking for a Concert.,INFORM,,
105_00000,SYSTEM,I found 3 events for you. One event is Crooked Colours at Rough Trade NYC.,OFFER,,INFORM_COUNT
105_00000,USER,"Sure, that works for me. I'd like to find a room in a hotel there.",SELECT,,
105_00000,SYSTEM,I found 10 hotels for you. One nice hotel is 1 Hotel Brooklyn Bridge which is a 4 star hotel.,OFFER,,INFORM_COUNT
105_00000,USER,How much is it per night and does it have wifi?,REQUEST,,
105_00000,SYSTEM,The room would be $240 a night and it does have wifi.,INFORM,,
105_00000,USER,"Sure, that works for me. I'd like to make a reservation for the hotel.",INFORM_INTENT,SELECT,
105_00000,SYSTEM,When is your expected check-in date?,REQUEST,,
105_00000,USER,I'd like to check in on March 1st.,INFORM,,
105_00000,SYSTEM,How many days would you like the reservation to be for?,REQUEST,,
105_00000,USER,I'd like the room for four days.,INFORM,,
105_00000,SYSTEM,Please confirm you're reserving 1 room at 1 Hotel Brooklyn Bridge in New York checking in March 1st for 4 days.,CONFIRM,,
105_00000,USER,"Yes, that sounds right to me.",AFFIRM,,
105_00000,SYSTEM,Your reservation has been confirmed.,NOTIFY_SUCCESS,,
105_00000,USER,What is the hotel's address and phone number?,REQUEST,,
105_00000,SYSTEM,"It is located at 60 Furman Street, Brooklyn and the number is +1 833-625-6111.",INFORM,,
105_00000,USER,Thank you. That will be all I need for now.,THANK_YOU,GOODBYE,
105_00000,SYSTEM,Have a nice day.,GOODBYE,,
105_00001,USER,"I'm looking to go to a concert in Vancouver, BC.",INFORM,,INFORM_INTENT
105_00001,SYSTEM,I found an event for the Beach Boys at PNE Amphitheatre.,OFFER,,
105_00001,USER,"When does the event start, and what's the event category?",REQUEST,,
105_00001,SYSTEM,It's a Pop event starting at 6:30 pm.,INFORM,,
105_00001,USER,That sounds great.,SELECT,,
105_00001,SYSTEM,Do you want tickets?,OFFER_INTENT,,
105_00001,USER,"I don't want tickets, but I want one hotel room there.",NEGATE_INTENT,,
105_00001,SYSTEM,I found 10 hotels. I found a 3 star hotel in Atrium Inn Vancouver.,OFFER,,INFORM_COUNT
105_00001,USER,Does the hotel have wifi?,REQUEST,,
105_00001,SYSTEM,It does not have wifi.,INFORM,,
105_00001,USER,"Yeah, that sounds good.",SELECT,,
105_00001,SYSTEM,Do you want to reserve a room at this hotel?,OFFER_INTENT,,
105_00001,USER,"Yeah, I want to check in next Friday and stay for two days.",AFFIRM_INTENT,INFORM,
105_00001,SYSTEM,Please confirm the following: You want to stay at the Atrium Inn Vancouver in Vancouver starting on March 8th for 2 days in 1 room.,CONFIRM,,
105_00001,USER,"Yeah, that works.",AFFIRM,,
105_00001,SYSTEM,You have a successful reservation.,NOTIFY_SUCCESS,,
105_00001,USER,What is the nightly cost?,REQUEST,,
105_00001,SYSTEM,The room is $204 per night.,INFORM,,
