dialogue_id,speaker,turn,act_1,act_2,act_3
6_00000,USER,Could you find me some songs? There are many good ones in the album Battleground!,INFORM,INFORM_INTENT,
6_00000,SYSTEM,I think I just found 1 song you'd like. What do you think about Glad You Came by The Wanted in their album Battleground?,OFFER,,
6_00000,USER,That is great!,SELECT,,
6_00000,SYSTEM,Do you want to play it now?,OFFER_INTENT,,
6_00000,USER,"Yeah, play it on the kitchen speaker!",AFFIRM_INTENT,INFORM,
6_00000,SYSTEM,Do you really want to play Glad You Came on kitchen speaker?,CONFIRM,,
6_00000,USER,Yes! I want it to play on the kitchen speaker.,AFFIRM,,
6_00000,SYSTEM,Playing the song.,NOTIFY_SUCCESS,,
6_00000,USER,Thank you very much.,THANK_YOU,,
6_00000,SYSTEM,What else can I help?,REQ_MORE,,
6_00000,USER,Nothing. Thank you.,NEGATE,THANK_YOU,
6_00000,SYSTEM,Have a good day!,GOODBYE,,
6_00001,USER,I'm wondering if you could find some songs for me. I like songs by Karolina Protsenko.,INFORM,INFORM_INTENT,
6_00001,SYSTEM,OK I found 3 possible options. How about Despacito from the My Dream album? It's by Karolina Protsenko.,OFFER,,
6_00001,USER,Can you suggest something else?,REQUEST_ALTS,,
6_00001,SYSTEM,"Sure, how about Girls Like You by Karolina Protsenko? It's from her album called Fly.",OFFER,,
6_00001,USER,"Is there something else you can suggest? I'm a big fan of pop songs, and there are really a lot of good ones on the album Fly.",INFORM,,REQUEST_ALTS
6_00001,SYSTEM,Another song I could suggest from the album Fly is Let Me Love You by Karolina Protsenko.,OFFER,,
6_00001,USER,That's a good one.,SELECT,,
6_00001,SYSTEM,Would you like to hear that right now?,OFFER_INTENT,,
6_00001,USER,"OK, could you play it on my kitchen device.",AFFIRM_INTENT,INFORM,
6_00001,SYSTEM,"Sure, confirming the following: starting Let Me Love You on your kitchen speaker.",CONFIRM,,
6_00001,USER,That works for me.,AFFIRM,,
6_00001,SYSTEM,The song has begun to play.,NOTIFY_SUCCESS,,
