dialogue_id,speaker,turn,act_1,act_2,act_3
4_00000,USER,I need to make a reservation for a lunch date,INFORM_INTENT,,
4_00000,SYSTEM,What time should the reservation be for and what city?,REQUEST,,
4_00000,USER,Look in San Bruno for a reservation at quarter past 11 in the morning,INFORM,,
4_00000,SYSTEM,What is the name of the restaurant you prefer?,REQUEST,,
4_00000,USER,Bj's is my first choice,INFORM,,
4_00000,SYSTEM,Bj's restaurant & Brewhouse in San Bruno at 11:15 am today for 2 guest. Is that correct?,CONFIRM,,
4_00000,USER,Yes that is correct.,AFFIRM,,
4_00000,SYSTEM,The 11:15 am reservation is unavailable at Bj's Restaurant & Brewhouse. Shall I check for a open reservation for 2 today at 11:30 am .,OFFER,,
4_00000,USER,Please check that for me.,AFFIRM,,
4_00000,SYSTEM,You have reservations at 11:30 am for 2 today confirmed,NOTIFY_SUCCESS,,
4_00000,USER,Thank you for suggesting another time. That is all for now,THANK_YOU,GOODBYE,
4_00000,SYSTEM,Have a good lunch.,GOODBYE,,
4_00001,USER,I would like to make a restaurant reservation.,INFORM_INTENT,,
4_00001,SYSTEM,In which city should I search and at what time? Do you have a preferred restaurant?,REQUEST,,
4_00001,USER,I would like to make a reservation at the Firehouse Grill in Sunnyvale at 6:45 pm on the 12th of this month.,INFORM,,
4_00001,SYSTEM,Please confirm you would like to book a table for 2 at the Firehouse Grill & Brewery in sunnyvale at 6:45 pm on March 12th.,CONFIRM,,
4_00001,USER,"Yes. Do they serve Pizza and Pasta, and also liquor?",REQUEST,,AFFIRM
4_00001,SYSTEM,Your reservation is confirmed. They serve American food and they do serve alcohol.,INFORM,,NOTIFY_SUCCESS
4_00001,USER,Thank you very much!,THANK_YOU,,
4_00001,SYSTEM,May I help you with anything else?,REQ_MORE,,
4_00001,USER,No. Thank you.,NEGATE,THANK_YOU,
4_00001,SYSTEM,Have a good day!,GOODBYE,,
4_00002,USER,"I want to go out to dinner next week. Can you make me a reservation for 7 o""clock in the evening?",INFORM,INFORM_INTENT,
4_00002,SYSTEM,"Are you still in LA, if not where should I search?",REQUEST,,
4_00002,USER,"No I left LA yesterday, find restaurants in Lafayette please.",INFORM,,
4_00002,SYSTEM,Do you have a place in mind?,REQUEST,,
4_00002,USER,"Yes, I really want to try The Park. See if it's available on the 6th.",INFORM,,
4_00002,SYSTEM,The Park Bistro & Bar in Lafayette has one table for 2 available at 7 pm next Wednesday. Does that work?,CONFIRM,,
4_00002,USER,Yes that's perfect. Do you know if a band is playing that night? Also do they serve Burrito food at the bar?,REQUEST,,AFFIRM
4_00002,SYSTEM,"You're all set! There's no live music. However, they do serve the Bistro menu at the bar.",INFORM,,NOTIFY_SUCCESS
4_00002,USER,"Awesome, thank you!",THANK_YOU,,
4_00002,SYSTEM,No problem. Anything else?,REQ_MORE,,
4_00002,USER,"No that's it, thanks again.",NEGATE,THANK_YOU,
4_00002,SYSTEM,"Anytime, enjoy your day!",GOODBYE,,
4_00003,USER,I want to make a reservation at a restaurant.,INFORM_INTENT,,
4_00003,SYSTEM,Which city should I search in? What time is the reservation for? Do you have a preferred restaurant?,REQUEST,,
4_00003,USER,"I want a reservation at El Tesoro at 7:45 in the evening, in SFO.",INFORM,,
4_00003,SYSTEM,"Please confirm: Table reserved for 7:45 pm today for 2 people, at El Tesoro Taqueria & Grill in San Francisco.",CONFIRM,,
4_00003,USER,Yes that works for me.,AFFIRM,,
4_00003,SYSTEM,"Sorry that time is not available, shall I reserve a table for 2 today at 7:30 pm at El Tesoro Taqueria & Grill?",OFFER,,
4_00003,USER,"Yes, that works for me.",AFFIRM,,
4_00003,SYSTEM,Your reservation is successful.,NOTIFY_SUCCESS,,
4_00003,USER,What's their phone number? How pricey are they?,REQUEST,,
4_00003,SYSTEM,"Their phone number is 415-202-0530, and their price range is inexpensive.",INFORM,,
4_00003,USER,Thank you very much.,THANK_YOU,,
4_00003,SYSTEM,Can I help you with anything else?,REQ_MORE,,
4_00003,USER,"No, thank you.",NEGATE,THANK_YOU,
4_00003,SYSTEM,Have a good day.,GOODBYE,,
4_00004,USER,I want to make a reservation at a restaurant.,INFORM_INTENT,,
4_00004,SYSTEM,Which city should I search in?,REQUEST,,
4_00004,USER,I want it on the 4th day of the month. I want the city of SFO.,INFORM,,
4_00004,SYSTEM,What time is the reservation for? Do you have a preferred restaurant?,REQUEST,,
4_00004,USER,The restaurant is called Mission Beach Cafe. Make the reservation at 18:45.,INFORM,,
4_00004,SYSTEM,Please confirm the following details: Booking a table at the restaurant Mission Beach Cafe located in the city of San Francisco. The dinner reservation is at 6:45 pm. The date of the reservation is next Monday and it is for 2 people.,CONFIRM,,
4_00004,USER,"That is incorrect, the restaurant is Hisui 2.",INFORM,NEGATE,
4_00004,SYSTEM,Please confirm the following details: The reservation is for booking a table at Hisui 2 for 2 people.,CONFIRM,,
4_00004,USER,Yes that works for me.,AFFIRM,,
4_00004,SYSTEM,"Sorry, I was unable to make a reservation. Can I help you with anything else?",NOTIFY_FAILURE,REQ_MORE,
4_00004,USER,"I want to make a reservation at the restaurant, and I want it to be Sunday this week.",INFORM,INFORM_INTENT,
4_00004,SYSTEM,Please confirm the following details: Booking a table at the restaurant Hisui 2 located in the city of San Francisco. The dinner reservation is at 6:45 pm. The date of the reservation is the day after tomorrow and it is for 2 people.,CONFIRM,,
4_00004,USER,"Yes that works, is the price intermediate priced or expensive?",REQUEST,AFFIRM,
4_00004,SYSTEM,"Sorry, I was unable to make a reservation. Can I help you with anything else?",NOTIFY_FAILURE,REQ_MORE,
4_00004,USER,No. Thank you very much.,NEGATE,THANK_YOU,
4_00004,SYSTEM,Have a good day.,GOODBYE,,
4_00005,USER,I'd like to make a reservation at a restaurant.,INFORM_INTENT,,
4_00005,SYSTEM,"Which city, and do you have a preferred restaurant?",REQUEST,,
4_00005,USER,The restaurant is Coupa Cafe in Palo Alto.,INFORM,,
4_00005,SYSTEM,What time would you like the reservation?,REQUEST,,
4_00005,USER,Please make it for 4:45 pm.,INFORM,,
4_00005,SYSTEM,Please confirm your reservation: A table for 2 at Coupa Cafe - Ramona in Palo Alto at 4:45 pm today.,CONFIRM,,
4_00005,USER,Yes that works for me. Is it in the bargain price range?,REQUEST,AFFIRM,
4_00005,SYSTEM,It is in the moderate price range. Your reservation is successful.,INFORM,NOTIFY_SUCCESS,
4_00005,USER,What is their contact number?,REQUEST,,
4_00005,SYSTEM,Their phone number is 650-322-6872.,INFORM,,
4_00005,USER,Thank you.,THANK_YOU,,
4_00005,SYSTEM,Is there anything else I can help you with?,REQ_MORE,,
4_00005,USER,"No, thank you.",NEGATE,THANK_YOU,
4_00005,SYSTEM,Have a good day.,GOODBYE,,
4_00006,USER,I would like to reserve a table at a restaurant.,INFORM_INTENT,,
4_00006,SYSTEM,"Which city are you located in, and do you have a restaurant in mind?",REQUEST,,
4_00006,USER,"The name of the restaurant is Marche Aux Fleurs. The location is in Ross, and the date is on the 10th.",INFORM,,
4_00006,SYSTEM,What time would you like me to make the reservation?,REQUEST,,
4_00006,USER,I would like it to be a eleven am.,INFORM,,
4_00006,SYSTEM,Please confirm the following information: I am booking a table for 2 at Marche Aux Fleurs in Ross. It is on March 10th at 11 am.,CONFIRM,,
4_00006,USER,Yup sounds great to me.,AFFIRM,,
4_00006,SYSTEM,The reservation has been booked successfully.,NOTIFY_SUCCESS,,
4_00006,USER,Thanks a ton!,THANK_YOU,,
4_00006,SYSTEM,Anything else I can assist you with?,REQ_MORE,,
4_00006,USER,"Nope, that's it, thanks!",NEGATE,THANK_YOU,
4_00006,SYSTEM,Have a good one.,GOODBYE,,
4_00007,USER,I need to make a dinner reservation.,INFORM_INTENT,,
4_00007,SYSTEM,"I need to know what city you want me to search, what time you want the reservation for, and if you have a particular restaurant in mind.",REQUEST,,
4_00007,USER,I need the reservation to be made for eleven in the morning at the Station House restaurant in Point Reyes Station.,INFORM,,
4_00007,SYSTEM,"Pleas confirm that you wish me to book a table for 2 at 11 am, today, at the Station House Cafe in Point Reyes Station.",CONFIRM,,
4_00007,USER,It should be for 4 people.,INFORM,NEGATE,
4_00007,SYSTEM,"Okay, for 4 people at 11 am; is this correct?",CONFIRM,,
4_00007,USER,"Yes, thank you.",AFFIRM,,
4_00007,SYSTEM,"I am unable to book a reservation at this time, sorry, is there something else I can help you with?",NOTIFY_FAILURE,REQ_MORE,
4_00007,USER,No thanks.,NEGATE,THANK_YOU,
4_00007,SYSTEM,Enjoy the rest of your day.,GOODBYE,,
4_00008,USER,I'd like to eat at Rivoli,INFORM,INFORM_INTENT,
4_00008,SYSTEM,Where is it? When should I book?,REQUEST,,
4_00008,USER,"It's in Berkeley. Let's book for March 7th at 12 o""clock in the afternoon",INFORM,,
4_00008,SYSTEM,Perfect. Can you check if i understood correctly? A table for 2 at Rivoli Restaurant in Berkeley for next Thursday at 12 pm?,CONFIRM,,
4_00008,USER,"yes, All correct",AFFIRM,,
4_00008,SYSTEM,I've booked your table,NOTIFY_SUCCESS,,
4_00008,USER,Thank you,THANK_YOU,,
4_00008,SYSTEM,Is there anything else I can do?,REQ_MORE,,
4_00008,USER,"No, I'm alright",NEGATE,THANK_YOU,
4_00008,SYSTEM,Have a nice day,GOODBYE,,
4_00009,USER,I would like to reserve a table at a restaurant.,INFORM_INTENT,,
4_00009,SYSTEM,At what restaurant and time would you like to dine?,REQUEST,,
4_00009,USER,"I'd like to eat at Little Nepal, evening 6:30.",INFORM,,
4_00009,SYSTEM,And in which city is that located?,REQUEST,,
4_00009,USER,I would like the reservation on the 7th; it's in SF.,INFORM,,
4_00009,SYSTEM,"All set. Just to confirm, I have reservations for 2 at Little Nepal in San Francisco next Thursday at 6:30 PM.",CONFIRM,,
4_00009,USER,"Yes, that would be great. Do they serve liquor? What's the exact address?",REQUEST,,AFFIRM
4_00009,SYSTEM,The reservation is successful. They do not serve alcohol. They are located at 925 Cortland Avenue.,INFORM,,NOTIFY_SUCCESS
4_00009,USER,Thanks a lot!,THANK_YOU,,
4_00009,SYSTEM,Can I assist you with anything further?,REQ_MORE,,
4_00009,USER,No. Thanks a lot.,NEGATE,THANK_YOU,
4_00009,SYSTEM,Have a good day.,GOODBYE,,
4_00010,USER,I'd like to make a restaurant reservation.,INFORM_INTENT,,
4_00010,SYSTEM,In which city? Do you have a restaurant you prefer?,REQUEST,,
4_00010,USER,"I'd like Rubio's in Cupertino, if possible.",INFORM,,
4_00010,SYSTEM,At what time?,REQUEST,,
4_00010,USER,"17:30, please.",INFORM,,
4_00010,SYSTEM,Please confirm a reservation at Rubio's Coastal Grill in the city of Cupertino today for 2 people at 5:30 pm.,CONFIRM,,
4_00010,USER,"Yes, that's perfect.",AFFIRM,,
4_00010,SYSTEM,Your reservation is made.,NOTIFY_SUCCESS,,
4_00010,USER,What's Rubio's address? Do they serve Taiwanese food?,REQUEST,,
4_00010,SYSTEM,"Their address is at 20688 Stevens Creek Boulevard, and their cuisine type is Seafood.",INFORM,,
4_00010,USER,Thank you!,THANK_YOU,,
4_00010,SYSTEM,Will there be anything else?,REQ_MORE,,
4_00010,USER,"No, thank you.",NEGATE,THANK_YOU,
4_00010,SYSTEM,Have a great day!,GOODBYE,,
4_00011,USER,"Hi, I am going out with my friend soon. I would like to make a reservation at a restaurant.",INFORM_INTENT,,
4_00011,SYSTEM,What city would you like to make a reservation?,REQUEST,,
4_00011,USER,I would like a reservation for March 11th in San Rafael at 18:00.,INFORM,,
4_00011,SYSTEM,Do you have a restaurant in mind?,REQUEST,,
4_00011,USER,I would like to go to Bj's.,INFORM,,
4_00011,SYSTEM,I can book the restaurant now. Can you confirm a few things? I am booking a table at Bj's Restaurant & Brewhouse in San Rafael for 6 pm. The reservation is for 2 on March 11th.,CONFIRM,,
4_00011,USER,"Actually, can you make the reservation for twelve in the afternoon.",INFORM,NEGATE,
4_00011,SYSTEM,Can you confirm that the reservation will be from 12 pm for 2 people?,CONFIRM,,
4_00011,USER,Yes that works. What is the address?,REQUEST,AFFIRM,
4_00011,SYSTEM,Your reservation has been made. The address is 5800 Northgate Mall Suite 159.,INFORM,NOTIFY_SUCCESS,
4_00011,USER,What is the price range? What is the phone number?,REQUEST,,
4_00011,SYSTEM,The price range is moderate. The phone number is 415-755-6250.,INFORM,,
4_00011,USER,Thank you!,THANK_YOU,,
4_00011,SYSTEM,You're welcome! Do you need help with anything else?,REQ_MORE,,
4_00011,USER,No. Thank you !,NEGATE,THANK_YOU,
4_00011,SYSTEM,Have a great day!,GOODBYE,,
4_00012,USER,I am looking for a restaurant in San Ramon.,INFORM,INFORM_INTENT,
4_00012,SYSTEM,For what time?,REQUEST,,
4_00012,USER,For the 4th of March at 18:45 in the restaurant Yayume.,INFORM,,
4_00012,SYSTEM,Can you confirm the following reservation at Yayume Sushi in San Ramon. Next Monday at 6:45 pm for 2 people.,CONFIRM,,
4_00012,USER,"Yes, that's good. Are they pricey?",REQUEST,AFFIRM,
4_00012,SYSTEM,I booked your reservation. Their prices are moderate.,INFORM,NOTIFY_SUCCESS,
4_00012,USER,Does the restaurant also serve Szcheuan food?,REQUEST,,
4_00012,SYSTEM,They have sushi.,INFORM,,
4_00012,USER,Thank you.,THANK_YOU,,
4_00012,SYSTEM,Anything else i can help you with?,REQ_MORE,,
4_00012,USER,"No. That was it, thanks.",NEGATE,THANK_YOU,
4_00012,SYSTEM,Have a nice day.,GOODBYE,,
4_00013,USER,I would like to reserve a table for dinner.,INFORM_INTENT,,
