dialogue_id,speaker,turn,act_1,act_2,act_3
21_00000,USER,I fancy watching a movie at home this evening,INFORM_INTENT,,
21_00000,SYSTEM,I can find you something. What kind of movie do you want to watch?,REQUEST,,
21_00000,USER,I'm really into Drama films at the moment,INFORM,,
21_00000,SYSTEM,"I've found 10, what do you think about Dogman, Hackers or High Life?",OFFER,INFORM_COUNT,
21_00000,USER,"None of those sound good, do you have anything else?",REQUEST_ALTS,,
21_00000,SYSTEM,"What about Little Woods, Mary Magdalene or Ramen Shop?",OFFER,,
21_00000,USER,No... what about adventure? I really like Joel Coen films,INFORM,,REQUEST_ALTS
21_00000,SYSTEM,"I've found 1, do you like True Grit?",OFFER,INFORM_COUNT,
21_00000,USER,"I love True Grit! Yes please, can you put it on with subtitles?",INFORM,INFORM_INTENT,SELECT
21_00000,SYSTEM,"Sure, just to confirm, you want me to play True Grit with subtitles?",CONFIRM,,
21_00000,USER,"Yes please, that would be great",AFFIRM,,
21_00000,SYSTEM,"No problem, I've put it on for you",NOTIFY_SUCCESS,,
21_00000,USER,Thank you so much,THANK_YOU,,
21_00000,SYSTEM,Anything else I can help with?,REQ_MORE,,
21_00000,USER,"No thank you, don't need anything else",NEGATE,THANK_YOU,
21_00000,SYSTEM,"No problem, enjoy your movie",GOODBYE,,
21_00001,USER,"I would like to find some Comic movies online, I particularly enjoy movies directed by Tyler Perry.",INFORM,,INFORM_INTENT
21_00001,SYSTEM,Here is 1 movie that may suit - A Madea Family Funeral?,OFFER,INFORM_COUNT,
21_00001,USER,A Madea Family Funeral is very good.,SELECT,,
21_00001,SYSTEM,Will I play the movie?,OFFER_INTENT,,
21_00001,USER,Yes please do.,AFFIRM_INTENT,,
21_00001,SYSTEM,To confirm then I will play A Madea Family Funeral without any subtitles.,CONFIRM,,
21_00001,USER,No actually play with the subtitles please.,INFORM,NEGATE,
21_00001,SYSTEM,I will play A Madea Family Funeral with subtitles.,CONFIRM,,
21_00001,USER,Perfect yes please.,AFFIRM,,
21_00001,SYSTEM,I have started playing the movie.,NOTIFY_SUCCESS,,
21_00001,USER,Thanks that's everything.,THANK_YOU,GOODBYE,
21_00001,SYSTEM,Enjoy and have a great day.,GOODBYE,,
21_00002,USER,Can you find some movies to watch today online?,INFORM_INTENT,,
21_00002,SYSTEM,What movies do you like?,REQUEST,,
21_00002,USER,I would like to watch something about mafia,INFORM,,
21_00002,SYSTEM,I found 1 movie called Mikey and Nicky,OFFER,INFORM_COUNT,
21_00002,USER,"Mikey and Nicky, great",SELECT,,
