dialogue_id,speaker,turn,act_1,act_2,act_3
126_00000,USER,Can you check my schedule for March 11th?,INFORM,INFORM_INTENT,
126_00000,SYSTEM,You have a Movie booking for Long Shot which starts at 10:30 pm.,OFFER,,
126_00000,USER,Ok. Thank you.,SELECT,,
126_00000,SYSTEM,Is there anything else I can do for you?,REQ_MORE,,
126_00000,USER,I want to get a cab to go there.,INFORM_INTENT,,
126_00000,SYSTEM,How many people will be going? Is a shared ride okay? Are you going to 3111 Mission College Boulevard?,REQUEST,,
126_00000,USER,The cab is for two people and a shared ride is fine. You have got the right address.,INFORM,,AFFIRM
126_00000,SYSTEM,Booking a shared cab for 2 to 3111 Mission College Boulevard. Please confirm.,CONFIRM,,
126_00000,USER,Yes. That sounds perfect. How long will it take to get there?,REQUEST,AFFIRM,
126_00000,SYSTEM,Your cab has been booked and it is on its way. The ride is expected to take roughly 32 minutes.,INFORM,NOTIFY_SUCCESS,
126_00000,USER,Thank you for the assistance. That'll be all for now.,THANK_YOU,GOODBYE,
126_00000,SYSTEM,Have a great day!,GOODBYE,,
126_00001,USER,Please help me check my calendar events.,INFORM_INTENT,,
126_00001,SYSTEM,What date would you like to check.,REQUEST,,
126_00001,USER,Check March 10th.,INFORM,,
126_00001,SYSTEM,On that date you have a Movie at The New Parkway Theater that begins at 10:30 pm.,OFFER,,
126_00001,USER,Okay. I'm going to need a cab to get thre.,SELECT,,
126_00001,SYSTEM,How many passengers will there be? And would you like a shared ride?,REQUEST,,
126_00001,USER,It's just for 1 person and a shared with is fine.,INFORM,,
126_00001,SYSTEM,And the address is 474 24th Street?,REQUEST,,
126_00001,USER,"Yes, that's right.",AFFIRM,,
126_00001,SYSTEM,"I'll get you a shared ride cab for 1 person to 474 24th Street, is that correct?",CONFIRM,,
126_00001,USER,"Wait, no. I have to head to Parker Palo Alto Apartments.",INFORM,NEGATE,
126_00001,SYSTEM,"Okay, I'll get you a shared ride to Parker Palo Alto Apartments?",CONFIRM,,
126_00001,USER,"Yes, that's right.",AFFIRM,,
126_00001,SYSTEM,I've booked the cab and it's on route.,NOTIFY_SUCCESS,,
126_00001,USER,"What's the cost of the cab, and what's the ride duration?",REQUEST,,
126_00001,SYSTEM,The cost is $14.32 and the rid duration is 29 minutes.,INFORM,,
126_00001,USER,"Thanks so much for helping me, I don't need any more help.",THANK_YOU,GOODBYE,
126_00001,SYSTEM,Have a wonderful day!,GOODBYE,,
126_00002,USER,I want to see what I have down on my calendar.,INFORM_INTENT,,
126_00002,SYSTEM,"On what day, exactly?",REQUEST,,
126_00002,USER,On March 1st.,INFORM,,
126_00002,SYSTEM,"On that day, you'll be going to a stylist appointment at Quality Men's Haircuts at 6:30 pm.",OFFER,,
126_00002,USER,"Good to know. I need a cab for 1 to get to the barber, which is located at 80 West El Camino Real. A shared ride is fine.",SELECT,,
126_00002,SYSTEM,"Okay, you want a shared ride for 1 to 80 West El Camino Real?",CONFIRM,,
126_00002,USER,"Yes, that's good.",AFFIRM,,
126_00002,SYSTEM,I have booked your ride and it should be arriving shortly.,NOTIFY_SUCCESS,,
126_00002,USER,Thanks for the assistance.,THANK_YOU,,
126_00002,SYSTEM,Do you need anything further from me?,REQ_MORE,,
126_00002,USER,Not now. Thanks for everything.,NEGATE,THANK_YOU,
126_00002,SYSTEM,Hope you get a nice haircut!,GOODBYE,,
126_00003,USER,What do I have going on on the 14th of this month?,INFORM,INFORM_INTENT,
126_00003,SYSTEM,You have a gynecologist appointment at 1 pm.,OFFER,,
126_00003,USER,Yikes. What about the 11th?,INFORM,REQUEST_ALTS,
126_00003,SYSTEM,You have an appointment with Spate Daniel J. at 4 pm.,OFFER,,
126_00003,USER,Ok. Can you get me a cab to 1101 South Winchester Boulevard # I202. There are 4 of us.,SELECT,,
126_00003,SYSTEM,4 to 1101 South Winchester Boulevard # I202?,CONFIRM,,
126_00003,USER,You got it.,AFFIRM,,
126_00003,SYSTEM,The car is on its way.,NOTIFY_SUCCESS,,
126_00003,USER,Great. I'm good to go.,THANK_YOU,GOODBYE,
